Province,Year,FDI,SEZ,2SEZ,Population,FDICAPITA,SEZNUM
Papua Barat,2019,46204,1,0,960,48.15,1
Papua Barat,2020,10585,1,0,1134,9.33,1
Papua Barat,2021,32502,1,0,1157,28.10,1
Papua Barat,2022,71831,1,0,1183,60.70,1
Riau,2016,869105,0,0,6501,133.69,0
Riau,2017,1061147,0,0,6658,159.38,0
Riau,2018,1032883,0,0,6815,151.56,0
Riau,2019,1034039,0,0,6972,148.32,0
Riau,2020,1077984,0,0,6394,168.59,0
Riau,2021,1921413,0,0,6494,295.89,0
Riau,2022,2748701,0,0,6614,415.56,0
Sulawesi Barat,2016,20633,0,0,1307,15.79,0
Sulawesi Barat,2017,11389,0,0,1331,8.56,0
Sulawesi Barat,2018,24698,0,0,1356,18.22,0
Sulawesi Barat,2019,10135,0,0,1380,7.34,0
Sulawesi Barat,2020,6526,0,0,1419,4.60,0
Sulawesi Barat,2021,5921,0,0,1437,4.12,0
Sulawesi Barat,2022,28286,0,0,1459,19.39,0
Sulawesi Selatan,2016,372467,0,0,8606,43.28,0
Sulawesi Selatan,2017,712788,0,0,8690,82.02,0
Sulawesi Selatan,2018,617188,0,0,8772,70.36,0
Sulawesi Selatan,2019,302614,0,0,8851,34.19,0
Sulawesi Selatan,2020,236055,0,0,9074,26.02,0
Sulawesi Selatan,2021,309955,0,0,9140,33.91,0
Sulawesi Selatan,2022,469003,0,0,9226,50.84,0
Sulawesi Tengah,2016,1600338,1,0,2922,547.74,1
Sulawesi Tengah,2017,1545556,1,0,2966,521.04,1
Sulawesi Tengah,2018,672421,1,0,3010,223.37,1
Sulawesi Tengah,2019,1805039,1,0,3054,591.04,1
Sulawesi Tengah,2020,1778986,1,0,2986,595.84,1
Sulawesi Tengah,2021,2718102,1,0,3022,899.47,1
Sulawesi Tengah,2022,7485988,1,0,3066,2441.53,1
Sulawesi Tenggara,2016,376107,0,0,2551,147.44,0
Sulawesi Tenggara,2017,692983,0,0,2602,266.29,0
Sulawesi Tenggara,2018,672926,0,0,2654,253.58,0
Sulawesi Tenggara,2019,987662,0,0,2705,365.17,0
Sulawesi Tenggara,2020,1268574,0,0,2625,483.28,0
Sulawesi Tenggara,2021,1616455,0,0,2659,607.87,0
Sulawesi Tenggara,2022,877936,0,0,2702,324.96,0
Sulawesi Utara,2016,382805,1,0,2437,157.09,1
Sulawesi Utara,2017,482925,1,0,2461,196.23,1
Sulawesi Utara,2018,295848,1,0,2484,119.08,1
Sulawesi Utara,2019,220474,1,1,2507,87.94,2
Sulawesi Utara,2020,155690,1,1,2622,59.38,2
Sulawesi Utara,2021,169080,1,1,2639,64.08,2
Sulawesi Utara,2022,105131,1,1,2660,39.53,2
Sumatera Barat,2016,79268,0,0,5260,15.07,0
Sumatera Barat,2017,194425,0,0,5322,36.54,0
Sumatera Barat,2018,180800,0,0,5382,33.59,0
Sumatera Barat,2019,157114,0,0,5441,28.87,0
Sumatera Barat,2020,125589,0,0,5535,22.69,0
Sumatera Barat,2021,66949,0,0,5580,12.00,0
Sumatera Barat,2022,95625,0,0,5641,16.95,0
Sumatera Selatan,2016,2793514,0,0,8161,342.30,0
Sumatera Selatan,2017,1182941,0,0,8267,143.09,0
Sumatera Selatan,2018,1078554,0,0,8370,128.85,0
Sumatera Selatan,2019,736482,0,0,8471,86.94,0
Sumatera Selatan,2020,1543875,0,0,8467,182.33,0
Sumatera Selatan,2021,1259743,0,0,8551,147.32,0
Sumatera Selatan,2022,1226254,0,0,8657,141.65,0
Sumatera Utara,2016,1014654,1,0,14103,71.95,1
Sumatera Utara,2017,1514943,1,0,14262,106.22,1
Sumatera Utara,2018,1227609,1,0,14415,85.16,1
Sumatera Utara,2019,379547,1,0,14563,26.06,1
Sumatera Utara,2020,974763,1,0,14799,65.87,1
Sumatera Utara,2021,580422,1,0,14936,38.86,1
Sumatera Utara,2022,1316127,1,0,15115,87.07,1
