Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
NANCHANG RAIL TRANSIT GROUP LTD CORP,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,68604045,Fixed Coupon,1.5,,1.7,,
KUNMING RAIL TRANSIT GROUP CO LTD,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,137208090,Fixed Coupon,3.1,,1.7,,
CENTURY HOUSING CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,US Dollar,3295000,Fixed Coupon,2.6,,1.7,,
BENIN  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Benin,BEN,Social Bond,,2022,West African CFA Franc,50404184,Discount/Zero Coupon,0.0,4.3178,1.7,29.6, 28.4 
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Hong Kong Dollar,38507945,Fixed Coupon,1.9,,1.7,,
BARCLAYS BANK PLC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Certified Green Bond,2022,US Dollar,170000000,Discount/Zero Coupon,0.0,,1.7,,
SHANGHAI ENVIRONMENT GROUP CO LTD,Non-Sovereign,Private Institution,Waste Management. Disposal & Recycling Services,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,27441618,Fixed Coupon,1.7,,1.7,,
NATIXIS SA,Non-Sovereign,Private Institution,Diversified Investment Services,,,,,,Green Bond,Self-Labeled Green Bond,2022,US Dollar,15000000,Floating Coupon,0.0,,1.7,,
NEW METRO GLOBAL LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,US Dollar,100000000,Fixed Coupon,8.0,,1.7,,
JAPAN EXCHANGE GROUP INC,Non-Sovereign,Private Institution,Securities & Commodity Exchanges,,,,,,Green Bond,Self-Labeled Green Bond,2022,Japanese Yen,3302510,Fixed Coupon,0.1,,1.7,,
CITIGROUP GLOBAL MARKETS HOLDINGS INC,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Social Bond,,2022,Argentinian Peso,479468,Fixed Coupon,68.0,,1.7,,
SHANDONG NUCLEAR POWER CO LTD,Non-Sovereign,Private Institution,Nuclear Utilities,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,96045663,Fixed Coupon,2.0,,1.7,,
FUJIAN HAIXIA ENVIRONMENTAL PROTECTION GROUP CO LTD,Non-Sovereign,Private Institution,Sewage Treatment Facilities,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,13720809,Fixed Coupon,2.7,,1.7,,
NIGER  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Niger,NER,Social Bond,,2022,West African CFA Franc,17877635,Discount/Zero Coupon,0.0,0,1.7,9.8, 8.9 
JEONBUK BANK LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,68802290,Floating Coupon,4.1,,1.7,,
SUZHOU WATER CONSERVANCY CO LTD,Non-Sovereign,Private Institution,Water Supply & Irrigation Systems,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,27441618,Fixed Coupon,1.9,,1.7,,
WUXI COMMUNICATIONS INDUSTRY GROUP CO LTD,Non-Sovereign,Private Institution,Petroleum Product Wholesale,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,13720809,Fixed Coupon,1.9,,1.7,,
CHINA SOUTHERN POWER GRID CO LTD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,123487281,Fixed Coupon,2.2,,1.7,,
JIANGSU SHENGHONG SCIENCE AND TECHNOLOGY CORP LTD,Non-Sovereign,Private Institution,Specialty Chemicals (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,27441618,Fixed Coupon,4.5,,1.7,,
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Hong Kong Dollar,38507945,Fixed Coupon,2.7,,1.7,,
NANCHANG RAIL TRANSIT GROUP LTD CORP,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,137208090,Fixed Coupon,1.9,,1.7,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2022,South Korean Won,110083664,Floating Coupon,4.0,,1.7,,
NH CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,South Korean Won,6880229,Fixed Coupon,4.2,,1.7,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,13760458,Fixed Coupon,3.0,,1.7,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2022,South Korean Won,454095112,Floating Coupon,3.9,,1.7,,
WOORI CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Social Bond,,2022,South Korean Won,34401145,Fixed Coupon,3.4,,1.7,,
CHINA ASSET LEASING CO LTD,Non-Sovereign,Private Institution,Industrial Equipment Rental,,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,137208090,Fixed Coupon,3.6,,1.7,,
PAMPA ENERGIA SA,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Argentinian Peso,2950171,Floating Coupon,86.5,,1.7,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2022,South Korean Won,412813738,Discount/Zero Coupon,0.0,,1.7,,
SUZHOU HIGH-TECH URBAN TRANSPORT DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Highway & Bridge Construction,,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,27441618,Fixed Coupon,2.9,,1.7,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2022,South Korean Won,6880229,Fixed Coupon,2.4,,1.7,,
NH CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,South Korean Won,27520916,Fixed Coupon,4.5,,1.7,,
BANK RAKYAT INDONESIA (PERSERO) TBK PT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,Indonesian Rupiah,153657037,Fixed Coupon,3.7,,1.7,,
NETHERLANDS DEVELOPMENT FINANCE COMPANY NV,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2022,US Dollar,24606000,Discount/Zero Coupon,0.0,,1.7,,
NH CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2022,South Korean Won,68802290,Fixed Coupon,4.4,,1.7,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2022,South Korean Won,323370762,Floating Coupon,4.0,,1.7,,
MALI  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Mali,MLI,Social Bond,,2022,West African CFA Franc,114498336,Discount/Zero Coupon,0.0,0,1.7,17.4, 19.5 
INTER-AMERICAN DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2022,Australian Dollar,31355000,Fixed Coupon,1.0,,1.7,,
NIGER  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Niger,NER,Social Bond,,2022,West African CFA Franc,69741639,Discount/Zero Coupon,0.0,0,1.7,9.8, 8.9 
CCCC THIRD HARBOR ENGINEERING CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,68604045,Fixed Coupon,2.3,,1.7,,
BURKINA FASO  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Burkina Faso,BFA,Social Bond,,2022,West African CFA Franc,34926296,Discount/Zero Coupon,0.0,0,1.7,18.4, 18.2 
GEMENG INTERNATIONAL ENERGY CO LTD,Non-Sovereign,Private Institution,Fossil Fuel Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,22639335,Fixed Coupon,3.7,,1.7,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2022,South Korean Won,61922061,Fixed Coupon,2.4,,1.7,,
SHINHAN BANK,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2022,South Korean Won,68802290,Fixed Coupon,3.4,,1.7,,
ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Social Bond,,2022,Argentinian Peso,52124,Floating Coupon,92.4,,1.7,,
ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Social Bond,,2022,Argentinian Peso,4842,Fixed Coupon,40.0,,1.7,,
SENEGAL  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Senegal,SEN,Social Bond,,2022,West African CFA Franc,61023934,Discount/Zero Coupon,0.0,1.6023,1.7,31.2, 29.0 
CPI RONGHE FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,68604045,Fixed Coupon,2.5,,1.7,,
CPI RONGHE FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,68604045,Fixed Coupon,2.6,,1.7,,
NANCHANG RAIL TRANSIT GROUP LTD CORP,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,68604045,Fixed Coupon,2.5,,1.7,,
GUINEA-BISSAU  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Guinea,GIN,Social Bond,,2022,West African CFA Franc,17435410,Discount/Zero Coupon,0.0,0,1.7,28.2, 27.8 
NIGER  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Niger,NER,Social Bond,,2022,West African CFA Franc,52306229,Discount/Zero Coupon,0.0,0,1.7,9.8, 8.9 
CEVIA ENVIRO INC,Non-Sovereign,Private Institution,Environmental Services & Equipment (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,96045663,Fixed Coupon,2.5,,1.7,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2022,South Korean Won,419693967,Discount/Zero Coupon,0.0,,1.7,,
SENEGAL  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Senegal,SEN,Social Bond,,2022,West African CFA Franc,60833730,Discount/Zero Coupon,0.0,1.6023,1.7,31.2, 29.0 
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Fixed Coupon,3.2,,1.7,,
CENTURY HOUSING CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,US Dollar,3842000,Fixed Coupon,3.7,,1.7,,
NONGHYUP BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2022,South Korean Won,172005724,Floating Coupon,4.0,,1.7,,
CITIGROUP GLOBAL MARKETS HOLDINGS INC,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Social Bond,,2022,US Dollar,50000000,Floating Coupon,5.7,,1.7,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2022,South Korean Won,34401145,Fixed Coupon,2.5,,1.7,,
HONGKONG AND SHANGHAI BANKING CORPORATION LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2022,US Dollar,5190000,Discount/Zero Coupon,0.0,,1.7,,
HONGKONG AND SHANGHAI BANKING CORPORATION LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2022,US Dollar,1000000,Discount/Zero Coupon,0.0,,1.7,,
LOTTE CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,68802290,Fixed Coupon,4.3,,1.7,,
GWACHEON URBAN CORP,Non-Sovereign,Private Institution,Leisure & Recreation (NEC),,,,,,Social Bond,,2022,South Korean Won,41281374,Fixed Coupon,5.1,,1.7,,
NH CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2022,South Korean Won,6880229,Fixed Coupon,5.0,,1.7,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Fixed Coupon,4.1,,1.7,,
NIGER  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Niger,NER,Social Bond,,2022,West African CFA Franc,61023934,Discount/Zero Coupon,0.0,0,1.7,9.8, 8.9 
NIGER  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Niger,NER,Social Bond,,2022,West African CFA Franc,55951815,Discount/Zero Coupon,0.0,0,1.7,9.8, 8.9 
FONDO ESPECIAL PARA FINANCIAMIENTOS AGROPECUARIOS,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Social Bond,,2022,Mexican Peso,101135341,Floating Coupon,11.5,,1.7,,
SENEGAL  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Senegal,SEN,Social Bond,,2022,West African CFA Franc,34078301,Discount/Zero Coupon,0.0,1.6023,1.7,31.2, 29.0 
SHINHAN CAPITAL CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,27520916,Fixed Coupon,3.4,,1.7,,
HANA CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Fixed Coupon,3.3,,1.7,,
HANA CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Fixed Coupon,6.8,,1.7,,
GUINEA-BISSAU  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Guinea,GIN,Social Bond,,2022,West African CFA Franc,15794896,Discount/Zero Coupon,0.0,0,1.7,28.2, 27.8 
MALI  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Mali,MLI,Social Bond,,2022,West African CFA Franc,8796957,Discount/Zero Coupon,0.0,0,1.7,17.4, 19.5 
ASIAN INFRASTRUCTURE INVESTMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Sustainability Bond,,2022,Turkish Lira,55576706,Fixed Coupon,50.0,,1.7,,
SENEGAL  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Senegal,SEN,Social Bond,,2022,West African CFA Franc,48343636,Discount/Zero Coupon,0.0,1.6023,1.7,31.2, 29.0 
RIKSHEM AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Swedish Krona,27423306,Floating Coupon,4.3,,1.7,,
SENEGAL  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Lower middle income,Developing,Senegal,SEN,Social Bond,,2022,West African CFA Franc,19812966,Discount/Zero Coupon,0.0,1.6023,1.7,31.2, 29.0 
JINAN SHUNTONG INTERNATIONAL CO LTD,Non-Sovereign,Private Institution,Unknown,,,,,,Green Bond,CBI Aligned Green bond,2022,US Dollar,200000000,Fixed Coupon,6.8,,1.7,,
KOREA SOUTH-EAST POWER CO LTD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,South Korean Won,34401145,Fixed Coupon,5.8,,1.7,,
SHINHAN CAPITAL CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,13760458,Fixed Coupon,2.4,,1.7,,
HYUNDAI CAPITAL SERVICES INC,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,27520916,Fixed Coupon,3.6,,1.7,,
SHINHAN CAPITAL CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,34401145,Fixed Coupon,3.5,,1.7,,
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Hong Kong Dollar,38507945,Fixed Coupon,4.6,,1.7,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,20640687,Fixed Coupon,3.4,,1.7,,
MALI  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Sub-Saharan Africa,Low income,Developing,Mali,MLI,Social Bond,,2022,West African CFA Franc,7925186,Discount/Zero Coupon,0.0,0,1.7,17.4, 19.5 
HAITONG SECURITIES CO LTD,Non-Sovereign,Private Institution,Investment Banking,,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,370461842,Fixed Coupon,2.9,,1.7,,
LOTTE CARD CO LTD,Non-Sovereign,Private Institution,Consumer Credit Cards Services,,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Fixed Coupon,4.4,,1.7,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,20640687,Fixed Coupon,2.3,,1.7,,
LOTTE CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,75682519,Fixed Coupon,4.4,,1.7,,
EMLAK VARLIK KIRALAMA AS,Non-Sovereign,Private Institution,Islamic Investment Banking & Brokerage Services,,,,,,Green Bond,Self-Labeled Green Bond,2022,Turkish Lira,5557671,Fixed Coupon,28.0,,1.7,,
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Polish Zloty,209633265,Fixed Coupon,3.9,,1.7,,
SA SAN MIGUEL AGICI Y F,Non-Sovereign,Private Institution,Food Ingredients,,,,,,Sustainability Bond,,2022,US Dollar,50000000,Variable Coupon,4.0,,1.7,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2022,South Korean Won,220167327,Fixed Coupon,3.7,,1.7,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Social Bond,,2022,Hong Kong Dollar,51343927,Fixed Coupon,0.7,,1.7,,
HBIS GROUP CO LTD,Non-Sovereign,Private Institution,Iron & Steel (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,Chinese Yuan,205812135,Fixed Coupon,3.7,,1.7,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,US Dollar,35000000,Fixed Coupon,4.6,,1.7,,
AGENCE METROPOLITAINE DES DECHETS MENAGERS,Non-Sovereign,Private Institution,Waste Management. Disposal & Recycling Services,,,,,,Green Bond,Self-Labeled Green Bond,2022,Euro,10327000,Fixed Coupon,0.0,,1.7,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Social Bond,,2022,Russian Ruble,41239027,Fixed Coupon,8.0,,1.7,,
KOREA SMES AND STARTUPS AGENCY,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2022,South Korean Won,61922061,Fixed Coupon,3.6,,1.7,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,Australian Dollar,62710000,Fixed Coupon,1.1,,1.7,,
BDO UNIBANK INC,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,Philippine Peso,906900706,Fixed Coupon,2.9,,1.7,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Social Bond,,2022,Hong Kong Dollar,38507945,Fixed Coupon,0.8,,1.7,,
AGENCE METROPOLITAINE DES DECHETS MENAGERS,Non-Sovereign,Private Institution,Waste Management. Disposal & Recycling Services,,,,,,Green Bond,Self-Labeled Green Bond,2022,Euro,7228900,Fixed Coupon,0.0,,1.7,,
ASIAN INFRASTRUCTURE INVESTMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Sustainability Bond,,2022,Hong Kong Dollar,12835982,Fixed Coupon,0.9,,1.7,,
SBB TREASURY OYJ,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Social Bond,,2022,Euro,722890000,Floating Coupon,4.5,,1.7,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,17200572,Fixed Coupon,3.3,,1.7,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2022,South Korean Won,144484808,Fixed Coupon,2.3,,1.7,,
KOREA SMES AND STARTUPS AGENCY,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2022,South Korean Won,123844122,Fixed Coupon,2.3,,1.7,,
BANK OF CHINA LIMITED (BUDAPEST BRANCH),Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,US Dollar,300000000,Fixed Coupon,1.6,,1.7,,
BANK OF CHINA HONG KONG LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Hong Kong Dollar,256719636,Fixed Coupon,1.3,,1.7,,
ASIAN INFRASTRUCTURE INVESTMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Sustainability Bond,,2022,Hong Kong Dollar,64179909,Fixed Coupon,3.2,,1.7,,
INDEPENDENT ADMINISTRATIVE INSTITUTION JAPAN STUDENT SERVICES ORGANIZATION,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Social Bond,,2022,Japanese Yen,198150594,Fixed Coupon,0.0,,1.7,,
SVENSK FASTIGHETSFINANSIERING AB (PUBL),Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Swedish Krona,54846612,Floating Coupon,4.8,,1.7,,
HEMSO FASTIGHETS AB,Non-Sovereign,Private Institution,Real Estate Services (NEC),,,,,,Sustainability Bond,,2022,Swedish Krona,18282204,Floating Coupon,0.7,,1.7,,
ASIAN INFRASTRUCTURE INVESTMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Sustainability Bond,,2022,Russian Ruble,25774392,Fixed Coupon,9.3,,1.7,,
HEMSO FASTIGHETS AB,Non-Sovereign,Private Institution,Real Estate Services (NEC),,,,,,Sustainability Bond,,2022,Swedish Krona,63987714,Floating Coupon,4.4,,1.7,,
CITIGROUP GLOBAL MARKETS HOLDINGS INC,Non-Sovereign,Private Institution,Investment Banking & Brokerage Services (NEC),,,,,,Social Bond,,2022,US Dollar,10000000,Fixed Coupon,1.8,,1.7,,
WILLHEM AB (PUBL),Non-Sovereign,Private Institution,Real Estate Services (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Swedish Krona,45705510,Floating Coupon,4.4,,1.7,,
KOREA DISTRICT HEATING CORP,Non-Sovereign,Private Institution,Fossil Fuel Electric Utilities,,,,,,Sustainability Bond,,2022,South Korean Won,103203435,Fixed Coupon,2.3,,1.7,,
HUIAN JIAOFA GROUP CO LTD,Non-Sovereign,Private Institution,Highway & Bridge Construction,,,,,,Green Bond,CBI Aligned Green bond,2022,Chinese Yuan,27441618,Fixed Coupon,3.4,,1.7,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,Swedish Krona,45705510,Floating Coupon,0.8,,1.7,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,Hong Kong Dollar,25671964,Fixed Coupon,1.1,,1.7,,
KB CAPITAL CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,20640687,Floating Coupon,4.5,,1.7,,
KOREA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2022,Brazilian Real,221330394,Fixed Coupon,11.2,,1.7,,
KOREA DISTRICT HEATING CORP,Non-Sovereign,Private Institution,Fossil Fuel Electric Utilities,,,,,,Green Bond,Self-Labeled Green Bond,2022,South Korean Won,68802290,Fixed Coupon,2.3,,1.7,,
HANSOL PAPER CO LTD,Non-Sovereign,Private Institution,Paper Products (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2022,South Korean Won,20640687,Fixed Coupon,3.3,,1.7,,
ASIAN INFRASTRUCTURE INVESTMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Sustainability Bond,,2022,Turkish Lira,16673012,Fixed Coupon,45.0,,1.7,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,Hong Kong Dollar,24388365,Fixed Coupon,1.2,,1.7,,
ACUON CAPITAL CORP,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2022,South Korean Won,6880229,Floating Coupon,6.2,,1.7,,
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2022,Chinese Yuan,205812135,Fixed Coupon,3.1,,1.7,,
