Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,30981000,Fixed Coupon,5.3,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,British Pound,28292520,Fixed Coupon,7.1,,5.1,,
CHENGDU PUBLIC TRAFFIC GROUP CO LTD,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,27441618,Fixed Coupon,2.2,,5.1,,
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,2128394700,Discount/Zero Coupon,0.0,,5.1,,
BNG BANK NV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,US Dollar,200000000,Fixed Coupon,5.2,,5.1,,
CHINA MERCHANTS FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,1.9,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,17133526,Fixed Coupon,5.4,,5.1,,
GOLDENPEAKS GREEN BOND I SA,Non-Sovereign,Non-governmental Organization,Charity Organizations,,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,35240888,Fixed Coupon,15.0,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,103270000,Fixed Coupon,5.3,,5.1,,
HUANENG LANCANG RIVER HYDROPOWER INC,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,178370517,Fixed Coupon,1.9,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,103270000,Fixed Coupon,5.3,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Euro,103270000,Fixed Coupon,5.3,,5.1,,
MALAYSIA RAIL LINK SDN BHD,Non-Sovereign,Government,Government Administration Activities,,,,,,Sustainability Bond,,2024,Malaysian Ringgit,225377507,Discount/Zero Coupon,0.0,,5.1,,
MALAYSIA RAIL LINK SDN BHD,Non-Sovereign,Government,Government Administration Activities,,,,,,Sustainability Bond,,2024,Malaysian Ringgit,56344377,Discount/Zero Coupon,0.0,,5.1,,
KOREA DEPOSIT INSURANCE CORP,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,178885953,Fixed Coupon,3.6,,5.1,,
MINMETALS LAND LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,137208090,Fixed Coupon,4.6,,5.1,,
INDUSTRIAL BANK OF KOREA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Social Bond,,2024,South Korean Won,89442977,Floating Coupon,3.1,,5.1,,
