countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
SGP,2021,31.6207400179128,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2020,23.1003005183608,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2019,28.0949935764636,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2018,21.7592915016982,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2017,29.7636517525701,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2016,20.4865236102582,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2015,22.6541826890492,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2014,21.8184880782679,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2013,20.9344810446532,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2012,18.7435244231802,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2011,17.5960314065855,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2010,23.0694716770803,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2009,12.0710944143275,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2008,7.02328608228291,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2007,26.1619888768056,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2006,26.3271523046736,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2005,15.1133588478776,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2004,21.2027237505542,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
PHL,2023,2.08541079990247,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2022,2.3475097233369,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2021,3.04078855310047,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
PHL,2020,1.88586363211171,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",PH,Philippines
